GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sufyaan-Aziz,QA.Library,LibraryPro2Application,5,3,0,0,2,1,1,1,1,1
Sufyaan-Aziz,QA.Library.Controllers,ScienceFictionController,47,3,0,0,12,1,6,1,6,1
Sufyaan-Aziz,QA.Library.Controllers,ThrillerController,47,3,0,0,12,1,6,1,6,1
Sufyaan-Aziz,QA.Library.Controllers,BiographyController,47,3,0,0,12,1,6,1,6,1
Sufyaan-Aziz,QA.Library.Services,ScienceFictionServices,97,6,12,0,23,3,11,1,5,1
Sufyaan-Aziz,QA.Library.Services,ThrillerServices,97,6,12,0,23,3,11,1,5,1
Sufyaan-Aziz,QA.Library.Services,BiographyServices,97,6,12,0,23,3,11,1,5,1
Sufyaan-Aziz,QA.Library.Models,ScienceFiction,68,3,0,0,28,2,12,1,12,1
Sufyaan-Aziz,QA.Library.Models,Biography,68,3,0,0,28,2,12,1,12,1
Sufyaan-Aziz,QA.Library.Models,Thriller,68,3,0,0,28,2,12,1,12,1
